title,news
"2024 in Review | Advancing Gender and ElectionsView this post on Instagram A post shared by European Union Support to Democratic Governance in Nigeria (@eu_sdgn) In 2024, the Nigerian Women Trust FundRead More »","['A post shared by European Union Support to Democratic Governance in Nigeria (@eu_sdgn)', 'In 2024, the Nigerian Women Trust Fund (NWTF), through its Gender and Election Watch (GEW) initiative, reinforced its commitment to promoting gender equality in Nigeria’s democratic processes. GEW played a critical role in observing the off-cycle elections from a gender perspective, ensuring that women’s voices were not just heard but also acted upon.', 'Our targeted interventions focused on breaking systemic barriers, empowering women to actively participate in electoral processes, and addressing gender disparities in political representation. By amplifying female voices and shedding light on critical issues affecting women in elections, we took significant strides toward achieving a more inclusive democracy.', 'As we reflect on these accomplishments, we remain resolute in our mission to create an equitable electoral environment where every woman can participate and thrive.', 'Tags', 'Leave a ReplyCancel replyYour email address will not be published.Required fields are marked*Comment*Name*Email*WebsiteSave my name, email, and website in this browser for the next time I comment.Δ', 'Your email address will not be published.Required fields are marked*', 'Comment*', 'Name*', 'Email*', 'Website', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Δ', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
NILEVAWG Mentees Stories of Change [VIDEO]Mentees sharing their impact storiesRead More »,"['Tags', 'Leave a ReplyCancel replyYour email address will not be published.Required fields are marked*Comment*Name*Email*WebsiteSave my name, email, and website in this browser for the next time I comment.Δ', 'Your email address will not be published.Required fields are marked*', 'Comment*', 'Name*', 'Email*', 'Website', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Δ', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
"Addressing Gender-Based Violence in Kogi StateThe Participation Initiative for Behavioural Change in Development (PIBCID), a sub-grantee organization under the 4th Edition of Addressing Gender-Based Violence (GBV) and Institutional Strengthening project funded by the Ford Foundation through the Nigerian Women Trust Fund, recently carried out a groundbreaking 3-day sensitization exercise in Kogi state.Read More »","['The Participation Initiative for Behavioural Change in Development (PIBCID), a sub-grantee organization under the 4th Edition of Addressing Gender-Based Violence (GBV) and Institutional Strengthening project funded by the Ford Foundation through the Nigerian Women Trust Fund, recently carried out a groundbreaking 3-day sensitization exercise in Kogi state.', 'The exercise, held from 15th to 17th August 2024, took place in three communities: OSISI (15th August), UJAGBA (16th August), and OKPACHALA (17th August) in IGALAMELA-ODOLU and ADAVI local government areas. The event targeted community women, providing a platform for them to share their experiences and challenges related to Gender-Based Violence (GBV). In partnership with the Medical Women’s Association of Nigeria (MWAN Kogi), PIBCID educated and empowered women to speak out against GBV and seek help when needed.', 'During the sensitization meeting, participants received free medical tests, including Instant Malaria Tests (IMT), Hepatitis B Surface Antigen (HBsag), and Hepatitis C Virus (HCV) tests. This holistic approach addressed both the physical and emotional well-being of the women.', 'The sensitization exercise created a safe space for women to share their stories and experiences of GBV, debunking cultural myths that often silence them. By understanding what GBV entails, women can now identify and address it, seeking help and support when needed', 'Tags', 'Leave a ReplyCancel replyYour email address will not be published.Required fields are marked*Comment*Name*Email*WebsiteSave my name, email, and website in this browser for the next time I comment.Δ', 'Your email address will not be published.Required fields are marked*', 'Comment*', 'Name*', 'Email*', 'Website', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Δ', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
"Training of Trainers on Continuous Voter Education: Empowering Women for Enhanced Electoral Participation in Ondo StateThe Nigerian Women Trust Fund (NWTF), with EU support, conducted a 3-day training in Ondo State to boost female participation in elections. Twenty women from local CSOs were trained in voter education, focusing on democracy, voter rights, and technology use. This initiative aims to empower women as key mobilizers in Edo State’s upcoming elections.Read More »","['The Nigerian Women Trust Fund (NWTF), with support from the European Union under Component 5: Support to Female Political Participation of the EUSDGN Phase 2 Programme, successfully conducted a 3-day Training of Trainers (ToT) on Continuous Voter Education (CVE) in Ondo State. This initiative aimed to strengthen female political participation and ensure that women play a more active role in Nigeria’s electoral processes.', 'The training brought together 20 female participants from state-based Civil Society Organizations (CSOs), carefully selected by the Independent National Electoral Commission (INEC) for their strong presence and ongoing work within the state. These women were equipped with the skills and knowledge needed to serve as key mobilizers during the upcoming off-cycle elections in the eighteen Local Government Areas of Edo State.', 'To achieve these objectives, NWTF compiled a training manual with the assistance of its technical staff. This manual was guided by an existing CVE handbook, the Electoral Act 2022, and inputs from INEC. Gender issues were carefully integrated into the CVE training program to ensure that the concerns and experiences of both male and female citizens are adequately considered in all election-related activities.', 'The comprehensive training manual created by NWTF, containing 11 crucial modules. These modules covered a range of topics including “What is Democracy?”, “Achieving Voter Education,” “Duties and Obligations of a Nigerian Citizen,” “Rights of a Voter,” and “Electoral Offences,” among others. The handbook served as a valuable resource for participants, ensuring they had access to detailed and relevant information to effectively carry out voter education.', 'The training also included sensitization and awareness creation on the use of technology, particularly the BVAS (Bimodal Voter Accreditation System), in Nigeria’s electoral process. This component was vital, given the recent passage of the Electoral Act by the National Assembly and its subsequent assent by the President, mandating the use of technology in elections conducted by INEC.', 'The primary focus of the ToT was to build the capacity of these women to deliver on key aspects such as voter education, mobilizing women voters, constituency building, and outreach on women’s leadership and representation. This effort is part of NWTF’s broader mission to enhance the participation of female citizens in electoral and democratic processes across focal states.', 'This 3-day training in Ondo State marks a significant step towards empowering women to take on leadership roles in voter education and ensuring that their voices are heard in the upcoming elections. Through this initiative, NWTF continues to champion gender inclusivity and the active participation of women in Nigeria’s democratic processes.', 'Tags', 'Leave a ReplyCancel replyYour email address will not be published.Required fields are marked*Comment*Name*Email*WebsiteSave my name, email, and website in this browser for the next time I comment.Δ', 'Your email address will not be published.Required fields are marked*', 'Comment*', 'Name*', 'Email*', 'Website', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Δ', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
Empowering Young Women Leaders: NILEVAWG 2024 Capacity Building SuccessThe National Institute for Leadership and Ending Violence against Women and Girls (NILEVAWG) has completed a three-day national capacity building for young women between theRead More »,"['The National Institute for Leadership and Ending Violence against Women and Girls (NILEVAWG) has completed a three-day national capacity building for young women between the ages of 18 and 35.', 'The Institute, which is a brainchild of the Nigerian Women Trust Fund (NWTF) is to equip participants with leadership and mobilizing skills, and existing frameworks to prevent and end VAWG in Nigeria.', 'The training was held in two batches at the Corinthia Villa Hotel, Garki 2, Abuja, last week,', 'CEO of NWTF Ms. Brenda Anugwom who welcomed participants to the training said there is a need for a change in attitudes as women and as a people to end violence against women and girls, for a more sustainable society, where every form of violence is eschewed.', '“Women’s voices and leadership over the years have been limited due to multiple barriers which include physical and sexual violence, lack of opportunities in decision-making, unequal gender relations to mention a few.”', 'According to her, the training is the third phase of the mentorship program to build a stronger network of young women across the country, who understand the pains of being abused, raped, and violated even in the minute ways and are prepared to find lasting and pragmatic means to end every form of violence against women and girls.', 'She thanked the Ford Foundation for Strengthening Women’s Voices, Institutions, and Women’s Rights, and Ending Violence Against Women and Girls in Nigeria through the support of NWTF.', '“Our mentees are now taking the lead and speaking against violence against women and girls across the country. They are already building partnerships, collaborations, community mobilization, and team building against this scourge in Nigeria.” She urged participants to be good ambassadors of the Nigerian Women Trust Fund during and after the mentorship program.', 'This institute was a sequel to the successful completion of a similar but distinct project under the Ford Foundation called Ending Violence against Women and Girls (EVAWG) Phase I and II in eight states – Adamawa, Cross River, FCT, Nasarawa, Ebonyi, Rivers, Kebbi and Ekiti state. This brought the idea of instilling leadership skills in women and girls across the country. Hence, theNational Institute for Leadership and Ending Violence against Women and Girls (NILEVAWG).', 'Tags', 'Leave a ReplyCancel replyYour email address will not be published.Required fields are marked*Comment*Name*Email*WebsiteSave my name, email, and website in this browser for the next time I comment.Δ', 'Your email address will not be published.Required fields are marked*', 'Comment*', 'Name*', 'Email*', 'Website', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Δ', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
"Grant Opportunity 4: Ending GBV for Increased Women LeadershipThe Nigerian Women Trust Fund (NWTF) invites submissions of proposal for grant aimed atStrengthening Institutions, Women’s Voices, Rights, and Ending Violence Against Women and Girls in Nigeria.Read More »","['CALL FOR GRANT PROPOSAL:', 'The Nigerian Women Trust Fund (NWTF) invites submissions of proposal for grant aimed atStrengthening Institutions, Women’s Voices, Rights, and Ending Violence Against Women\xa0and Girls in Nigeria.', 'About NWTF:The Nigerian Women’s Trust Fund is a non-profit organization focused on closing the gendergaps in all levels of governance. Since 2011, The Nigerian Women Trust Fund (NWTF) has\xa0been working to improve women’s leadership and political participation through four (4)\xa0thematic areas; Fundraising and Grant-Making; Governance, Gender, and leadership;\xa0Research, Advocacy and documentation, and Organizational Effectiveness.', 'Our strength has been consistently women’s political participation and closing the gender\xa0gaps in all levels of governance. Projects implemented in this regard include Create Her\xa0Space, She Should Contest, Start Early, Ascend! Young Women Leaders Project, Creating\xa0Spaces, EU – SDGN #OurVoteCountsNG and the Gender and Accountability Project by\xa0MacArthur/WRAPA. So far, we have mobilized an online movement and pool of voters for\xa0women across Nigeria including a growing Young Women Leadership and Political\xa0Development Project.', 'NWTF implement projects nationally across the 36 states and the Federal Capital Territory,\xa0Abuja, with a vision of fostering gender-inclusive governance for national development. As a\xa0nonpartisan organization, NWTF is committed to principles of inclusion, equity, a conducive\xa0political environment, and the eradication of gender-based discrimination and violence.', 'About the GrantThe Nigerian Women Trust Fund (NWTF) is launching the fourth edition of its impactfulproject aimed at addressing gender-based violence and enhancing the capacity of women-led organizations across Nigeria. This initiative is strategically crafted to empower\xa0organizations operating in all six geopolitical zones of Nigeria. The primary focus is on\xa0implementing activities that contribute to the eradication of gender-based violence while\xa0simultaneously bolstering the voices and institutions led by women. This comprehensive\xa0approach underscores NWTF’s commitment to fostering positive change and advancinggender equality throughout the nation.', 'Objectives of the Grant:', 'Grant Categories:1. Category A:N2,000,000 – N2,500,000 (Community-based organizations requiring institutional\xa0strengthening).2. Category B:N2,500,000 – N3,500,000 (Civil society organizations focused on community mobilization).', 'Grant Project Duration: 6 – 9 monthsGrant Documents Link:https://files.fm/u/7w5kkrkgqg', '(Download proposal documents and fillthem appropriately)Submission Deadline: 8th January 2024, via grants@womenfund.org', 'Eligibility Criteria for Organizations:I. Gender-focused with a majority of staff and board being female.II. Local Non-Governmental Organization (NGO)/Community-Based Organisation (CBO)duly registered, based, and operating in Nigeria for at least 2 years.III. Demonstrated organizational structures for effective project implementation.IV. Adequate administrative, financial, human resources, and information managementsystems.V. Innovative projects with clear objectives and defined target audience.', 'NWTF encourages applications from young women between ages of 18 – 35 years, Personswith Disabilities (PWDs), and organizations in hard-to-reach areas.', 'Note: NWTF will not shortlist proposals focusing on political parties, campaigns, government\xa0agencies, scholarships, for-profit initiatives, or projects aimed at religious conversion.', 'Tags', 'Leave a ReplyCancel replyYour email address will not be published.Required fields are marked*Comment*Name*Email*WebsiteSave my name, email, and website in this browser for the next time I comment.Δ', 'Your email address will not be published.Required fields are marked*', 'Comment*', 'Name*', 'Email*', 'Website', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Δ', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
"Brenda Anugwom Announced as the new Chief Executive Officer of the Nigerian Women Trust FundBrenda Anugwom, a seasoned advocate for gender equality and women’s empowerment, has been appointed as the new CEO of the Nigerian Women Trust Fund (NWTF). With over two decades of experience in the nonprofit sector, Brenda brings a wealth of expertise to NWTF’s mission of increasing women’s participation and inclusion in politicsRead More »","['We are thrilled to introduce Brenda Anugwom as the new Chief Executive Officer (CEO) of the Nigerian Women Trust Fund (NWTF) to support women’s rights, political participation, and social development through various programs and initiatives. With a career dedicated to justice, gender equality, and social development, Brenda brings invaluable experience and expertise to lead NWTF into the future.', 'Brenda’s unwavering commitment to advancing the rights of women and marginalized communities has been a defining feature of her career. She has held key leadership roles in various organizations, contributing significantly to research on discriminatory laws related to violence against women in Africa.', 'Brenda’s previous leadership roles include serving as a Country Advisor for Policy Vault Africa, where she skilfully facilitated crucial partnerships with government agencies, contributing to the digitization of government policies and laws. Additionally, her expertise as a Procurement Legal Expert for the Nigerian Governors Forum played a pivotal role in guiding all 36 Nigerian states to align their Public Procurement Laws with international standards.', 'Beyond her professional achievements, Brenda is an active advocate, speaker, and trainer on critical topics such as gender-based violence, women’s political participation, and human rights, amplifying NWTF’s voice in these important discussions. Her dedication to making a meaningful impact in the lives of women and marginalized communities aligns perfectly with NWTF’s mission to increase the representation of women in Nigerian governance at all levels and address the gender imbalance in elective and appointive positions.', 'The NWTF, established in 2011 in response to a vacancy of gender-focused political action committees supporting women in politics, transparently provides aspiring women with financial and other forms of resources towards their political campaigns, irrespective of political inclinations. Brenda’s appointment marks a new chapter in our commitment to empowering women and advancing gender equality in Nigeria through NWTF’s mission.', 'Brenda holds a Master of Laws (LL.M) in Rule of Law for Development from Loyola University Chicago and a Barrister at Law (B.L) from the Nigerian Law School. Her appointment further strengthens our resolve to create a more inclusive and gender-balanced Nigerian governance landscape.', 'Join us in welcoming Brenda Anugwom as NWTF’s new CEO, as together, we strive to achieve our vision of a more inclusive and gender-balanced Nigerian governance landscape where women are empowered to lead at all levels.', 'Brenda Anugwom is a distinguished leader with over two decades of dedicated service in the fields of justice, gender equality, and social development. As the newly appointed CEO of the Nigerian Women Trust Fund (NWTF) to support women’s rights, political participation, and social development through various programs and initiatives, Brenda brings a remarkable portfolio of experience and expertise. She has held key positions in various organisations, including serving as a Legal Advisor to Médecins Sans Frontières (MSF) in South Sudan and contributing significantly to research on discriminatory laws related to violence against women in Africa.', 'Brenda’s leadership experience is evident from her past role as a Country Advisor and Consultant for Policy Vault Africa, where she skillfully facilitated strategic partnerships with government agencies, contributing significantly to the digitization of government policies and laws. Her expertise in procurement and legal matters is exemplified through her role as a Procurement Legal Expert for the Nigerian Governors Forum, where she played a pivotal role in guiding all 36 Nigerian states to align their Public Procurement Laws with international standards.', 'Beyond her professional accomplishments, Brenda actively engages in speaking engagements and facilitation roles on critical topics such as gender-based violence, women’s political participation, and human rights. She is also a skilled trainer, equipping individuals and organisations with effective project management and advocacy skills.', 'Academically, Brenda holds a Master of Laws (LL.M) in Rule of Law for Development from Loyola University Chicago and a Barrister at Law (B.L) from the Nigerian Law School. Brenda’s impact is evident in her unwavering dedication to making a lasting difference in the lives of women and marginalized communities.', 'Tags', '', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
"Ford Foundation Team Visit To The Nigerian Women Trust Fund Office On Thursday@Mufuliat Dasola Fijabi, @European Union Support to Democratic Governance in Nigeria, @Ford Foundation, @MacArthur Foundation, @WRAPA Nigeria, @OSF, @NDI, @IRI, @Funke Baruwa, @Dabesaki Mac-Ikemenjima, @WFMRead More »","['@Mufuliat Dasola Fijabi, @European Union Support to Democratic Governance in Nigeria, @Ford Foundation, @MacArthur Foundation, @WRAPA Nigeria, @OSF, @NDI, @IRI, @Funke Baruwa, @Dabesaki Mac-Ikemenjima, @WFM 91.7', 'Tags', 'Leave a ReplyCancel replyYour email address will not be published.Required fields are marked*Comment*Name*Email*WebsiteSave my name, email, and website in this browser for the next time I comment.Δ', 'Your email address will not be published.Required fields are marked*', 'Comment*', 'Name*', 'Email*', 'Website', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Δ', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
Ministerial Nominees: Women Commends President Bola Ahmed Tinubu and Ask for 35 Percent MinimumMinisterial Nominees: Women Commends President Bola Ahmed Tinubu and Ask for 35 Percent MinimumRead More »,"['Tags', 'Leave a ReplyCancel replyYour email address will not be published.Required fields are marked*Comment*Name*Email*WebsiteSave my name, email, and website in this browser for the next time I comment.Δ', 'Your email address will not be published.Required fields are marked*', 'Comment*', 'Name*', 'Email*', 'Website', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Δ', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
"Analysis of Root Causes of Violence Against Women and GirlsNational Conference on Violence Against Women and Girls: A Challenge to Women’s Political Leadership organized by the Nigerian Women Trust Fund with Support from Ford Foundation on 8th December 2020 in Abuja and virtually with participants from diverse background, the honourable Minister of Women Affairs unveiled and publicly presented a publication by the Nigerian Women Trust Fund titled Analysis of the Root Causes of Violence against Women and girls: A Leadership StrategyRead More »","['At the National Conference on Violence Against Women and Girls: A Challenge to Women’s Political Leadership organized by the Nigerian Women Trust Fund with Support from Ford Foundation on 8th December 2020 in Abuja and virtually with participants from diverse background, the honourable Minister of Women Affairs unveiled and publicly presented a publication by the Nigerian Women Trust Fund titled Analysis of the Root Causes of Violence against Women and girls: A Leadership Strategy. During the presentation, the Minister condemned in strong terms all acts of violence against women and girls. She emphasized that violence against women and girls is an abnormality that reduces the opportunities for women and girls. She called on all stakeholders to act swiftly to guarantee protection of women and girls from all forms of violence.', '', 'During the book unveiling session, moderated by Ms Toun Okewale Sonaiya, MD/CEO of Women Radio, 97. 1 FM, the Honorable Minister Dame Tallen commended the Nigerian Women Trust Fund and the Ford Foundation for the collaboration on the publication and tasked the two organizations to extend the research to every state of Nigeria. She congratulated the Nigerian Women Trust Fund for its efforts towards the empowerment of women and girls for leadership positions.', 'The conference which was also organized to commemorate the Sixteen Days of Activism against Gender-Based Violence under the global theme, “Orange the World: Fund, Respond, Prevent, collect!” provided the platform for the Ending Violence against Women and Girls Project (EVAWG), who participated at the conference to share their experiences.', 'The conference assembled female politicians, Civil Society Organizations (CSOs), NWTF mentees, Academicians, and relevant stakeholders who contributed to the discourse. Ms Mufuliat Fijabi the Chief Executive Officer, Nigerian Women Trust Fund gave the welcoming remark highlighting the changes women politicians encounter as a result of violence and urged female politicians to stay resolute in ensuring that women are duly represented in our political space. Ms Boladele Shobowale – Program Assistant, Ford Foundation gave the Goodwill Message stating that across the world we have seen that women have demonstrated exemplary leadership at every level of the pandemic response. However, the pandemic has also exacerbated deeply entrench inequalities threatening progress on gender equality and poses significant barriers to women’s participation in leadership and Nigerians governance. Adding that, Nigeria has one of lowest women representation in the world and in Africa. Nigeria is ranked 181 out of 193 countries in this regard.', 'This is evident in our National Assembly where only 7 seats are occupied by women out of 109 senate seats and only 11 seats out of 360 seats for the House of Representatives. She reiterated that women have made remarkable progress in various fields, but politics has not been one of them. Ms Dorothy Njemanze – Activist, and co-founder of Dorothy Njemanze Foundation gave the Agenda Setting Statement on Violence Against Women and Girls: A Leadership Barrier. In her speech she emphasized that one of the things important about participation in society for adult is participation in elections and other leadership roles which may not come by elections adding that, it is important to look holistically at what violence against women and girls is all about and the culture of addressing violence against women and girls, response protocols towards addressing violence against women and girls as reported.', 'The conference had two panel session; Session one was on Researchers’ Experience Sharing on the Root Causes of Violence Against Women and Girls which was moderated byMs. Ngozi Nwosu Juba– Human Rights Activist and Project Director, Vision Spring Initiatives. The panelist where the researchers from different states where the research was conducted. In Nasarawa areMs. Felicia OnibonandMs Godiya Pius. In FCT isDr. Rose Musa. In Cross River state isMs. Emilia Okonand in Adamawa areMs. Fatima WakiliandMs. Bibiana A. Adamswho narrated their findings on the root causes of violence against women and girls in their respective States of research.', 'Session two was on Commemorating the 16 Days of Activism Against Gender-Based Violence: Unbundling the issues which was moderated byDr.Sharon Omotosho– Co-Ordinator, Women’s Research and Documentation Centre (WORDOC)\xa0 Institute of African Studies, University of Ibadan \xa0and discussants wereHon. Janet Febisola Adeyemi– Former member, House of Representatives and president of Women in Mining in Nigeria,Ms Maggie Mariam Batubo– Woman Leader of Social Democratic Party (SDP),Ms. Ekaete Judith Umoh– Founder and Executive Director, FACICP Disability Plus andBarr. Ebere Ifendu– President, Women in Politics Forum (WIPF).', 'At the conference Her Excellency,Dame Pauline Talen (OFR)– Minister of Women Affairs unveiled and presented the research publication titled“Analysis of the Root Causes of Violence Against Women and Girls in Nigeria: A Leadership Strategy”which was moderated byMs. Toun Okewale Sonaiya –Chief Executive Officer, Women Radio 91.7fm', '', 'Harnessing the aftermath of the conference byMs. Felicia Onibon– The National Coordinator, 100 Women Lobby Group noted that the meaningful participation of women in national, local, and community leadership roles has become an important focus on global development policy. Still, some may ask why it matters if women become political leaders, elected policymakers, or civil society activists. Why does the world need more women involved in all aspects of the political process? Ms Onibon summed that women’s political participation results in tangible gains for democracy, including greater responsiveness to citizen needs, increased cooperation across party and ethnic lines, and a more sustainable future.', 'Publication link\xa0 —–https://com12.cld.bz/Analysis-of-the-Root-Causes-of-Violence-against-Women-and-Gi', 'Tags', '', 'The Nigerian Women Trust Fund – NWTF\xa0 was created as a response to low representation of women in decision making process of Nigeria.', 'House H, Taheel EstatePlot 71 Cadastral Zone,Col. Y.M. Bala CrescentKarimo District Abuja, FCT', 'info@womenfund.org']"
